"entry","protein_families"
"P48443","Nuclear hormone receptor family, NR2 subfamily"
"P48444","Adaptor complexes medium subunit family, Delta-COP subfamily"
"P48448","Aldehyde dehydrogenase family"
"P48449","Terpene cyclase/mutase family"
"P48454","PPP phosphatase family, PP-2B subfamily"
"P48506","Glutamate--cysteine ligase type 3 family"
"P48507","Aldo/keto reductase family, Glutamate--cysteine ligase light chain subfamily"
"P48509","Tetraspanin (TM4SF) family"
"P48539","PCP4 family"
"P48544","Inward rectifier-type potassium channel (TC 1.A.2.1) family, KCNJ5 subfamily"
"P48546","G-protein coupled receptor 2 family"
"P48547","Potassium channel family, C (Shaw) (TC 1.A.1.2) subfamily, Kv3.1/KCNC1 sub-subfamily"
"P48549","Inward rectifier-type potassium channel (TC 1.A.2.1) family, KCNJ3 subfamily"
"P48551","Type II cytokine receptor family"
"P48553","TRAPPC10 family"
"P48556","Proteasome subunit S14 family"
"P48594","Serpin family, Ov-serpin subfamily"
"P48595","Serpin family, Ov-serpin subfamily"
"P48637","Eukaryotic GSH synthase family"
"P48643","TCP-1 chaperonin family"
"P48645","NmU family"
"P48651","Phosphatidyl serine synthase family"
"P48664","Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family, SLC1A6 subfamily"
"P48668","Intermediate filament family"
"P48681","Intermediate filament family"
"P48723","Heat shock protein 70 family"
"P48728","GcvT family"
"P48729","Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily"
"P48730","Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily"
"P48735","Isocitrate and isopropylmalate dehydrogenases family"
"P48736","PI3/PI4-kinase family"
"P48739","PtdIns transfer protein family, PI transfer class I subfamily"
"P48740","Peptidase S1 family"
"P48745","CCN family"
"P48751","Anion exchanger (TC 2.A.31) family"
"P48764","Monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family"
"P48775","Tryptophan 2,3-dioxygenase family"
"P48788","Troponin I family"
"P48960","G-protein coupled receptor 2 family, LN-TM7 subfamily"
"P48995","Transient receptor (TC 1.A.4) family, STrpC subfamily, TRPC1 sub-subfamily"
"P49005","DNA polymerase delta/II small subunit family"
"P49006","MARCKS family"
"P49019","G-protein coupled receptor 1 family"
"P49023","Paxillin family"
"P49116","Nuclear hormone receptor family, NR2 subfamily"
"P49137","Protein kinase superfamily, CAMK Ser/Thr protein kinase family"
"P49146","G-protein coupled receptor 1 family"
"P49184","DNase I family"
"P49189","Aldehyde dehydrogenase family"
"P49190","G-protein coupled receptor 2 family"
"P49207","Eukaryotic ribosomal protein eL34 family"
"P49221","Transglutaminase superfamily, Transglutaminase family"
"P49238","G-protein coupled receptor 1 family"
"P49247","Ribose 5-phosphate isomerase family"
"P49279","NRAMP family"
"P49281","NRAMP family"
"P49286","G-protein coupled receptor 1 family"
"P49321","NASP family"
"P49326","FMO family"
"P49335","POU transcription factor family, Class-3 subfamily"
"P49336","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily"
"P49354","Protein prenyltransferase subunit alpha family"
"P49356","Protein prenyltransferase subunit beta family"
"P49366","Deoxyhypusine synthase family"
"P49368","TCP-1 chaperonin family"
"P49407","Arrestin family"
"P49411","TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-Tu/EF-1A subfamily"
"P49419","Aldehyde dehydrogenase family"
"P49427","Ubiquitin-conjugating enzyme family"
"P49448","Glu/Leu/Phe/Val dehydrogenases family"
"P49450","Histone H3 family"
"P49454","Centromere protein F family"
"P49458","SRP9 family"
"P49459","Ubiquitin-conjugating enzyme family"
"P49585","Cytidylyltransferase family"
"P49588","Class-II aminoacyl-tRNA synthetase family"
"P49589","Class-I aminoacyl-tRNA synthetase family"
"P49590","Class-II aminoacyl-tRNA synthetase family"
"P49591","Class-II aminoacyl-tRNA synthetase family, Type-1 seryl-tRNA synthetase subfamily"
"P49593","PP2C family"
"P49619","Eukaryotic diacylglycerol kinase family"
"P49639","Antp homeobox family, Labial subfamily"
"P49640","Even-skipped homeobox family"
"P49641","Glycosyl hydrolase 38 family"
"P49642","Eukaryotic-type primase small subunit family"
"P49643","Eukaryotic-type primase large subunit family"
"P49662","Peptidase C14A family"
"P49674","Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily"
"P49682","G-protein coupled receptor 1 family"
"P49683","G-protein coupled receptor 1 family"
"P49685","G-protein coupled receptor 1 family"
"P49703","Small GTPase superfamily, Arf family"
"P49711","CTCF zinc-finger protein family"
"P49715","BZIP family, C/EBP subfamily"
"P49716","BZIP family, C/EBP subfamily"
"P49720","Peptidase T1B family"
"P49721","Peptidase T1B family"
"P49736","MCM family"
"P49746","Thrombospondin family"
"P49747","Thrombospondin family"
"P49748","Acyl-CoA dehydrogenase family"
"P49753","C/M/P thioester hydrolase family"
"P49754","VPS41 family"
"P49755","EMP24/GP25L family"
"P49759","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, Lammer subfamily"
"P49760","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, Lammer subfamily"
"P49761","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, Lammer subfamily"
"P49763","PDGF/VEGF growth factor family"
"P49765","PDGF/VEGF growth factor family"
"P49767","PDGF/VEGF growth factor family"
"P49768","Peptidase A22A family"
"P49770","EIF-2B alpha/beta/delta subunits family"
"P49773","HINT family"
"P49788","Protease inhibitor I47 (latexin) family"
"P49790","NUP153 family"
"P49792","RanBP2 E3 ligase family"
"P49810","Peptidase A22A family"
"P49821","Complex I 51 kDa subunit family"
"P49840","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily"
"P49841","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily"
"P49842","STK19 family"
"P49848","TAF6 family"
"P49862","Peptidase S1 family, Kallikrein subfamily"
"P49863","Peptidase S1 family, Granzyme subfamily"
"P49888","Sulfotransferase 1 family"
"P49895","Iodothyronine deiodinase family"
"P49902","5'(3')-deoxyribonucleotidase family"
"P49903","Selenophosphate synthase 1 family, Class II subfamily"
"P49908","Selenoprotein P family"
"P49910","Krueppel C2H2-type zinc-finger protein family"
"P49913","Cathelicidin family"
"P49914","5-formyltetrahydrofolate cyclo-ligase family"
"P49916","ATP-dependent DNA ligase family"
"P49917","ATP-dependent DNA ligase family"
"P49918","CDI family"
"P49959","MRE11/RAD32 family"
"P49961","GDA1/CD39 NTPase family"
"P50052","G-protein coupled receptor 1 family"
"P50053","Carbohydrate kinase PfkB family"
"P50135","Class I-like SAM-binding methyltransferase superfamily, HNMT family"
"P50148","G-alpha family, G(q) subfamily"
"P50150","G protein gamma family"
"P50151","G protein gamma family"
"P50213","Isocitrate and isopropylmalate dehydrogenases family"
"P50225","Sulfotransferase 1 family"
"P50226","Sulfotransferase 1 family"
"P50281","Peptidase M10A family"
"P50336","Protoporphyrinogen/coproporphyrinogen oxidase family, Protoporphyrinogen oxidase subfamily"
"P50391","G-protein coupled receptor 1 family"
"P50395","Rab GDI family"
"P50406","G-protein coupled receptor 1 family"
"P50416","Carnitine/choline acetyltransferase family"
"P50440","Amidinotransferase family"
"P50443","SLC26A/SulP transporter (TC 2.A.53) family"
"P50452","Serpin family, Ov-serpin subfamily"
"P50453","Serpin family, Ov-serpin subfamily"
"P50454","Serpin family"
"P50502","FAM10 family"
"P50542","Peroxisomal targeting signal receptor family"
"P50548","ETS family"
"P50549","ETS family"
"P50552","Ena/VASP family"
"P50570","TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family"
"P50579","Peptidase M24A family, Methionine aminopeptidase eukaryotic type 2 subfamily"
"P50583","Nudix hydrolase family"
"P50591","Tumor necrosis factor family"
"P50607","TUB family"
"P50613","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily"
"P50616","BTG family"
"P50747","Biotin--protein ligase family"
"P50750","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily"
"P50876","RBR family, RNF144 subfamily"
"P50897","Palmitoyl-protein thioesterase family"
"P50914","Eukaryotic ribosomal protein eL14 family"
"P50990","TCP-1 chaperonin family"
"P50991","TCP-1 chaperonin family"
"P50993","Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIC subfamily"
"P50995","Annexin family"
"P51003","Poly(A) polymerase family"
"P51114","FMR1 family"
"P51116","FMR1 family"
"P51124","Peptidase S1 family, Granzyme subfamily"
"P51148","Small GTPase superfamily, Rab family"
"P51149","Small GTPase superfamily, Rab family"
"P51151","Small GTPase superfamily, Rab family"
"P51153","Small GTPase superfamily, Rab family"
"P51157","Small GTPase superfamily, Rab family"
"P51159","Small GTPase superfamily, Rab family"
"P51160","Cyclic nucleotide phosphodiesterase family"
"P51161","Calycin superfamily, Fatty-acid binding protein (FABP) family"
"P51164","X(+)/potassium ATPases subunit beta family"
"P51168","Amiloride-sensitive sodium channel (TC 1.A.6) family, SCNN1B subfamily"
"P51170","Amiloride-sensitive sodium channel (TC 1.A.6) family, SCNN1G subfamily"
"P51172","Amiloride-sensitive sodium channel (TC 1.A.6) family, SCNN1D subfamily"
"P51397","DAP-DAPL1 family"
"P51398","Mitochondrion-specific ribosomal protein mS29 family"
"P51449","Nuclear hormone receptor family, NR1 subfamily"
"P51451","Protein kinase superfamily, Tyr protein kinase family, SRC subfamily"
"P51452","Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily"
"P51460","Insulin family"
"P51511","Peptidase M10A family"
"P51512","Peptidase M10A family"
"P51530","DNA2/NAM7 helicase family"
"P51531","SNF2/RAD54 helicase family"
"P51532","SNF2/RAD54 helicase family"
"P51553","Isocitrate and isopropylmalate dehydrogenases family"
"P51570","GHMP kinase family, GalK subfamily"
"P51571","TRAP-delta family"
"P51572","BCAP29/BCAP31 family"
"P51575","P2X receptor family"
"P51580","Class I-like SAM-binding methyltransferase superfamily, TPMT family"
"P51582","G-protein coupled receptor 1 family"
"P51589","Cytochrome P450 family"
"P51606","N-acylglucosamine 2-epimerase family"
"P51617","Protein kinase superfamily, TKL Ser/Thr protein kinase family, Pelle subfamily"
"P51636","Caveolin family"
"P51648","Aldehyde dehydrogenase family"
"P51649","Aldehyde dehydrogenase family"
"P51654","Glypican family"
"P51659","Short-chain dehydrogenases/reductases (SDR) family"
"P51665","Peptidase M67A family"
"P51668","Ubiquitin-conjugating enzyme family"
"P51671","Intercrine beta (chemokine CC) family"
"P51674","Myelin proteolipid protein family"
"P51677","G-protein coupled receptor 1 family"
"P51679","G-protein coupled receptor 1 family"
"P51681","G-protein coupled receptor 1 family"
"P51684","G-protein coupled receptor 1 family"
"P51685","G-protein coupled receptor 1 family"
"P51686","G-protein coupled receptor 1 family"
"P51688","Sulfatase family"
"P51690","Sulfatase family"
"P51692","Transcription factor STAT family"
"P51693","APP family"
"P51784","Peptidase C19 family"
"P51787","Potassium channel family, KQT (TC 1.A.1.15) subfamily, Kv7.1/KCNQ1 sub-subfamily"
"P51788","Chloride channel (TC 2.A.49) family, ClC-2/CLCN2 subfamily"
"P51790","Chloride channel (TC 2.A.49) family, ClC-3/CLCN3 subfamily"
"P51793","Chloride channel (TC 2.A.49) family, ClC-4/CLCN4 subfamily"
"P51795","Chloride channel (TC 2.A.49) family, ClC-5/CLCN5 subfamily"
"P51797","Chloride channel (TC 2.A.49) family, ClC-6/CLCN6 subfamily"
"P51798","Chloride channel (TC 2.A.49) family, ClC-7/CLCN7 subfamily"
"P51800","Chloride channel (TC 2.A.49) family, CLCNKA subfamily"
"P51801","Chloride channel (TC 2.A.49) family, CLCNKB subfamily"
"P51805","Plexin family"
"P51808","Dynein light chain Tctex-type family"
"P51809","Synaptobrevin family"
"P51810","G-protein coupled receptor OA family"
"P51811","XK family"
"P51812","Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily"
"P51813","Protein kinase superfamily, Tyr protein kinase family, TEC subfamily"
"P51814","Krueppel C2H2-type zinc-finger protein family"
"P51816","AF4 family"
"P51817","Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily"
"P51825","AF4 family"
"P51826","AF4 family"
"P51828","Adenylyl cyclase class-4/guanylyl cyclase family"
"P51841","Adenylyl cyclase class-4/guanylyl cyclase family"
"P51843","Nuclear hormone receptor family, NR0 subfamily"
"P51854","Transketolase family"
"P51857","Aldo/keto reductase family"
"P51858","HDGF family"
"P51864","EGF-CFC (Cripto-1/FRL1/Cryptic) family"
"P51878","Peptidase C14A family"
"P51884","Small leucine-rich proteoglycan (SLRP) family, SLRP class II subfamily"
"P51888","Small leucine-rich proteoglycan (SLRP) family, SLRP class II subfamily"
"P51911","Calponin family"
"P51946","Cyclin family, Cyclin C subfamily"
"P51955","Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily"
"P51956","Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily"
"P51957","Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily"
"P51959","Cyclin family, Cyclin G subfamily"
"P51965","Ubiquitin-conjugating enzyme family"
"P51970","Complex I NDUFA8 subunit family"
"P51993","Glycosyltransferase 10 family"
"P52198","Small GTPase superfamily, Rho family"
"P52209","6-phosphogluconate dehydrogenase family"
"P52292","Importin alpha family"
"P52294","Importin alpha family"
"P52298","RRM NCBP2 family"
"P52333","Protein kinase superfamily, Tyr protein kinase family, JAK subfamily"
"P52429","Eukaryotic diacylglycerol kinase family"
"P52434","Eukaryotic RPB8 RNA polymerase subunit family"
"P52435","Archaeal Rpo11/eukaryotic RPB11/RPC19 RNA polymerase subunit family"
"P52564","Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily"
"P52565","Rho GDI family"
"P52566","Rho GDI family"
"P52569","Amino acid-polyamine-organocation (APC) superfamily, Cationic amino acid transporter (CAT) (TC 2.A.3.3) family"
"P52630","Transcription factor STAT family"
"P52655","TFIIA subunit 1 family"
"P52657","TFIIA subunit 2 family"
"P52701","DNA mismatch repair MutS family"
"P52732","TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, BimC subfamily"
"P52736","Krueppel C2H2-type zinc-finger protein family"
"P52738","Krueppel C2H2-type zinc-finger protein family"
"P52739","Krueppel C2H2-type zinc-finger protein family"
"P52742","Krueppel C2H2-type zinc-finger protein family"
"P52744","Krueppel C2H2-type zinc-finger protein family"
"P52747","GLI C2H2-type zinc-finger protein family"
"P52756","RBM5/RBM10 family"
"P52758","RutC family"
"P52788","Spermidine/spermine synthase family"
"P52789","Hexokinase family"
"P52790","Hexokinase family"
"P52797","Ephrin family"
"P52798","Ephrin family"
"P52799","Ephrin family"
"P52803","Ephrin family"
"P52815","Bacterial ribosomal protein bL12 family"
"P52823","Stanniocalcin family"
"P52824","Eukaryotic diacylglycerol kinase family"
"P52848","Sulfotransferase 1 family, NDST subfamily"
"P52849","Sulfotransferase 1 family, NDST subfamily"
"P52888","Peptidase M3 family"
"P52895","Aldo/keto reductase family"
"P52907","F-actin-capping protein alpha subunit family"
"P52926","HMGA family"
"P52945","Antp homeobox family, IPF1/XlHbox-8 subfamily"
"P52948","Nucleoporin GLFG family"
"P52952","NK-2 homeobox family"
"P52961","Arg-specific ADP-ribosyltransferase family"
"P53004","Gfo/Idh/MocA family, Biliverdin reductase subfamily"
"P53007","Mitochondrial carrier (TC 2.A.29) family"
"P53041","PPP phosphatase family, PP-5 (PP-T) subfamily"
"P53350","Protein kinase superfamily, Ser/Thr protein kinase family, CDC5/Polo subfamily"
"P53355","Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily"
"P53370","Nudix hydrolase family"
"P53384","Mrp/NBP35 ATP-binding proteins family, NUBP1/NBP35 subfamily"
"P53396","Succinate/malate CoA ligase beta subunit family"
"P53396"," Succinate/malate CoA ligase alpha subunit family"
"P53420","Type IV collagen family"
"P53539","BZIP family, Fos subfamily"
"P53567","BZIP family, C/EBP subfamily"
"P53582","Peptidase M24A family, Methionine aminopeptidase type 1 subfamily"
"P53597","Succinate/malate CoA ligase alpha subunit family"
"P53602","Diphosphomevalonate decarboxylase family"
"P53609","Protein prenyltransferase subunit beta family"
"P53611","Protein prenyltransferase subunit beta family"
"P53634","Peptidase C1 family"
"P53667","Protein kinase superfamily, TKL Ser/Thr protein kinase family"
